# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-0.99986047	1.7487906e-08	3.2904873e-11	-0.99986047	1.7487906e-08	3.2904873e-11	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99985075	1.064393e-10	-7.163419e-13	-0.99985075	1.064393e-10	-7.1634235e-13	NaN	NaN	NaN	NaN	NaN	NaN	0.039999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99983966	-3.0550495e-10	2.539119e-13	-0.99983966	-3.0550495e-10	2.539119e-13	NaN	NaN	NaN	NaN	NaN	NaN	0.079999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99982655	-2.5153213e-10	-1.5040574e-10	-0.9998265	-2.5153213e-10	-1.5040574e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.11999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9998113	2.4172664e-10	-1.0225273e-10	-0.99981123	2.4172664e-10	-1.0225273e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.15999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.999793	2.1429969e-11	-3.3656605e-11	-0.99979293	2.1429969e-11	-3.3656602e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.20000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99977064	-8.401457e-11	6.997974e-11	-0.9997705	-8.401457e-11	6.997973e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.23999979	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99974275	2.6165026e-10	1.0186673e-11	-0.99974275	2.6165026e-10	1.01866736e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.28000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99970675	1.2846613e-10	-7.6214875e-11	-0.9997067	1.2846613e-10	-7.6214875e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.31999978	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99965817	-1.7382717e-10	-2.9949956e-11	-0.99965817	-1.7382717e-10	-2.9949956e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000034	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9995889	3.6234837e-10	-2.3344943e-10	-0.9995889	3.6234837e-10	-2.3344943e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.40000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9994794	5.687184e-11	-2.2737518e-11	-0.9994794	5.687184e-11	-2.2737517e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.43999952	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99926585	-1.2141754e-10	9.666861e-11	-0.99926585	-1.2141754e-10	9.666861e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.47999957	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99992555	-2.059224e-09	1.5493e-11	0.9999255	-2.059224e-09	1.5493e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5200003	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999282	2.4201086e-11	-4.06682e-11	0.9999282	2.4201086e-11	-4.0668198e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.56000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99993074	1.2342127e-10	4.4974618e-11	0.99993074	1.2342127e-10	4.4974614e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.59999925	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
