# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0.9525505	0.008891392	0.000107174856	0.9525504	0.008891392	0.000107174856	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.98831415	0.020348407	-6.494061e-11	0.98831415	0.020348407	-6.494061e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.039999966	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9927641	6.3990115e-06	-5.3214405e-11	0.99276406	6.399011e-06	-5.32144e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.07999993	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99421096	3.4585141e-06	-1.1401275e-10	0.99421096	3.458514e-06	-1.1401276e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.120000355	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99532247	2.1542987e-06	4.5237918e-11	0.99532247	2.1542987e-06	4.5237918e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.15999986	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9962017	1.2499842e-06	9.164996e-11	0.9962017	1.2499842e-06	9.164996e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.2000005	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99691135	6.493642e-07	1.1866116e-10	0.9969113	6.493642e-07	1.1866116e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.24000071	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9974914	3.3795743e-07	-3.5508613e-11	0.99749136	3.3795743e-07	-3.550861e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.27999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99796855	1.4093939e-07	3.395199e-11	0.99796855	1.4093939e-07	3.395199e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.31999972	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99836075	4.2428326e-08	-9.320969e-11	0.99836075	4.2428326e-08	-9.320969e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000043	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9986801	9.0138315e-09	6.77584e-11	0.9986801	9.0138315e-09	6.7758396e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.400001	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.998936	9.274004e-10	2.5668242e-11	0.99893594	9.274004e-10	2.5668242e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.44000074	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99913657	1.4722445e-10	-9.266743e-11	0.99913657	1.4722445e-10	-9.2667436e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.48000142	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99929076	-1.5063506e-11	2.0507575e-11	0.9992908	-1.5063506e-11	2.0507575e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5199987	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.999408	2.1259439e-10	4.996724e-11	0.999408	2.1259439e-10	4.996724e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5599989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99949706	7.7562845e-11	-1.6328628e-11	0.9994971	7.7562845e-11	-1.6328628e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.60000014	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99956536	-2.3882762e-10	6.4047166e-12	0.99956536	-2.3882762e-10	6.4047166e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.63999945	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99961853	1.8269475e-10	-9.614383e-11	0.99961853	1.8269475e-10	-9.614383e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.67999834	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996408	2.0037305e-10	5.5610044e-11	0.9996408	2.0037305e-10	5.5610044e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.6999983	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9995936	8.14282e-11	2.3475064e-11	0.9995937	8.14282e-11	2.3475062e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.66000223	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99953353	-1.4819079e-10	-1.8991982e-12	0.9995335	-1.4819079e-10	-1.8991982e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.61999995	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9994971	1.5171508e-10	-5.1871514e-11	0.9994971	1.5171508e-10	-5.1871517e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.60000014	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9994556	-2.7409897e-10	-6.5856216e-11	0.9994556	-2.7409897e-10	-6.5856216e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5800014	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.999408	2.4647306e-10	9.160932e-11	0.999408	2.4647306e-10	9.160932e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5599989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9993534	1.4892976e-10	-6.352489e-11	0.99935347	1.4892976e-10	-6.352489e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.54000026	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99929076	-4.155254e-11	-1.1072308e-11	0.9992909	-4.155254e-11	-1.1072308e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5199987	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9992189	3.3224978e-10	6.2863506e-11	0.9992189	3.3224978e-10	6.28635e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9991366	3.0144065e-10	-3.6062438e-11	0.99913657	3.0144065e-10	-3.606243e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.48000142	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9990427	-1.2687451e-10	-8.2382996e-11	0.9990427	-1.2687451e-10	-8.2382996e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.45999926	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99893606	-1.0771828e-10	1.0915206e-11	0.99893606	-1.0771828e-10	1.0915206e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.44000074	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9988156	3.257128e-11	-9.95854e-11	0.9988156	3.257128e-11	-9.95854e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.4199987	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9986803	1.2931878e-10	3.2368552e-13	0.99868023	1.2931878e-10	3.2368552e-13	NaN	NaN	NaN	NaN	NaN	NaN	0.400001	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9985291	1.628564e-10	3.434914e-11	0.9985291	1.628564e-10	3.434914e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.37999928	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99836093	1.50294e-10	-1.2437016e-11	0.99836093	1.50294e-10	-1.2437016e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000043	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99817455	-3.1150194e-10	-1.817389e-11	0.99817455	-3.1150194e-10	-1.817389e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.33999917	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99796873	-2.5352165e-11	-9.522057e-11	0.9979688	-2.5352165e-11	-9.522058e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.31999972	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99774176	2.2316726e-10	2.1421906e-11	0.99774176	2.2316726e-10	2.1421904e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.30000007	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9974916	-1.3784529e-10	5.0493353e-11	0.99749154	-1.3784529e-10	5.0493353e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.27999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9972158	1.8866331e-10	5.445718e-12	0.9972158	1.8866331e-10	5.445718e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.25999936	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9969115	-1.3284307e-10	1.1171013e-10	0.99691147	-1.3284307e-10	1.11710134e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.24000071	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99657506	-1.8872015e-11	7.71725e-11	0.99657506	-1.8872015e-11	7.717249e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.22000037	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.996202	6.423306e-11	8.4350825e-11	0.996202	6.423306e-11	8.4350825e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.2000005	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9957869	-1.2556711e-10	5.144376e-11	0.9957869	-1.2556711e-10	5.144376e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.18000022	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99532276	-4.5588422e-11	-5.4241546e-12	0.99532276	-4.5588422e-11	-5.4241546e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.15999986	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9948012	7.542553e-10	2.3403045e-11	0.9948013	7.542553e-10	2.3403045e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.13999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.994211	-1.8934543e-10	-4.124548e-11	0.994211	-1.8934543e-10	-4.124548e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.120000355	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9935385	3.4356162e-10	3.1702304e-11	0.99353856	3.4356162e-10	3.1702304e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.10000025	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9927645	4.2632564e-12	-8.140825e-12	0.9927644	4.2632564e-12	-8.140826e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.07999993	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9918638	-1.7250841e-09	-4.4508416e-12	0.9918638	-1.7250841e-09	-4.4508416e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.060000177	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99080116	-2.518732e-10	-4.6378114e-12	0.99080116	-2.518732e-10	-4.637812e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.039999966	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9895272	4.1103476e-10	-1.7965861e-11	0.9895273	4.1103476e-10	-1.7965861e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.019999983	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.98796546	1.9859954e-09	1.4270543e-11	0.98796546	1.9859954e-09	1.4270542e-11	NaN	NaN	NaN	NaN	NaN	NaN	-2.8449465e-16	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9859941	4.118874e-10	2.6906755e-11	0.9859941	4.118874e-10	2.6906755e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.019999983	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9834038	-3.689138e-11	2.5110036e-13	0.9834038	-3.689138e-11	2.5110036e-13	NaN	NaN	NaN	NaN	NaN	NaN	-0.039999966	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9797727	5.984475e-10	-2.7218915e-11	0.9797727	5.984475e-10	-2.7218915e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.060000177	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9740591	-2.9549483e-09	6.029271e-11	0.9740591	-2.9549483e-09	6.0292715e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.07999993	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9935382	-3.2672943e-07	-4.4548528e-11	-0.9935382	-3.2672943e-07	-4.4548528e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.10000025	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99421084	-2.3685692e-07	1.1837743e-10	-0.9942109	-2.3685692e-07	1.1837742e-10	NaN	NaN	NaN	NaN	NaN	NaN	-0.120000355	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99480087	-1.70379e-07	-1.2064055e-10	-0.99480087	-1.70379e-07	-1.2064055e-10	NaN	NaN	NaN	NaN	NaN	NaN	-0.13999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99532247	-1.2934487e-07	-7.257181e-11	-0.9953226	-1.2934487e-07	-7.257181e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.15999986	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99578655	-9.03222e-08	5.1904727e-11	-0.99578655	-9.03222e-08	5.1904727e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.18000022	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99620175	-5.8966748e-08	-8.355166e-11	-0.99620175	-5.8966748e-08	-8.355166e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.2000005	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99657476	-3.618402e-08	5.745094e-11	-0.99657476	-3.618402e-08	5.7450947e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.22000037	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9969112	-2.3442851e-08	-6.005991e-11	-0.9969113	-2.3442851e-08	-6.0059915e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.24000071	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99721557	-1.3388501e-08	1.353069e-11	-0.9972156	-1.3388501e-08	1.353069e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.25999936	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99749136	-6.8250756e-09	2.5690824e-11	-0.99749136	-6.8250756e-09	2.5690824e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.27999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9977416	-3.7543373e-09	-2.7904058e-11	-0.9977416	-3.7543373e-09	-2.7904058e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.30000007	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9979686	-1.8225137e-09	2.48214e-11	-0.99796855	-1.8225137e-09	2.48214e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.31999972	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9981744	-6.9326234e-10	6.426132e-12	-0.9981744	-6.9326234e-10	6.426132e-12	NaN	NaN	NaN	NaN	NaN	NaN	-0.33999917	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9983607	-3.3276137e-10	1.1163851e-10	-0.9983607	-3.3276137e-10	1.11638504e-10	NaN	NaN	NaN	NaN	NaN	NaN	-0.36000043	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99852896	-2.745537e-10	1.554307e-12	-0.9985289	-2.745537e-10	1.554307e-12	NaN	NaN	NaN	NaN	NaN	NaN	-0.37999928	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99868023	-1.5307933e-10	-1.04789115e-10	-0.99868023	-1.5307933e-10	-1.04789115e-10	NaN	NaN	NaN	NaN	NaN	NaN	-0.400001	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9988154	3.075229e-11	2.0788595e-11	-0.9988155	3.075229e-11	2.0788595e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.4199987	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99893594	1.0271606e-10	7.48031e-13	-0.99893594	1.0271606e-10	7.48031e-13	NaN	NaN	NaN	NaN	NaN	NaN	-0.44000074	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9990426	5.4797056e-11	-8.4464664e-11	-0.9990426	5.4797056e-11	-8.4464664e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.45999926	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9991365	-1.7826096e-10	7.441998e-11	-0.99913657	-1.7826096e-10	7.441998e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.48000142	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9992188	-3.43789e-10	-1.8211885e-11	-0.9992188	-3.43789e-10	-1.8211885e-11	NaN	NaN	NaN	NaN	NaN	NaN	-0.5	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
