# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.06122741	-0.00997857	-1.4508799e-09	NaN	NaN	NaN	0	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.06442894	-0.011049743	6.596868e-10	NaN	NaN	NaN	6.993007e-09	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.06784362	-0.012251883	-1.315062e-09	NaN	NaN	NaN	1.3986014e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.071485095	-0.013603826	2.2851897e-10	NaN	NaN	NaN	2.0979021e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.07536688	-0.015127323	-1.636282e-09	NaN	NaN	NaN	2.7972028e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.07950168	-0.016847445	4.5272625e-10	NaN	NaN	NaN	3.4965034e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.08390086	-0.018793004	-1.3668021e-09	NaN	NaN	NaN	4.1958042e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.08857321	-0.020996995	7.8041384e-10	NaN	NaN	NaN	4.8951048e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.09352371	-0.023496883	-1.0779196e-09	NaN	NaN	NaN	5.5944056e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.098751515	-0.026334837	6.3812844e-10	NaN	NaN	NaN	6.293706e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.10424744	-0.02955757	-8.192189e-10	NaN	NaN	NaN	6.993007e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.1099905	-0.033215694	1.2417635e-09	NaN	NaN	NaN	7.692308e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.11594371	-0.037362106	-7.24362e-10	NaN	NaN	NaN	8.3916085e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.12204839	-0.042048905	6.8986855e-10	NaN	NaN	NaN	9.090909e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.12821819	-0.047321945	-7.1573864e-10	NaN	NaN	NaN	9.7902095e-08	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.13433184	-0.05321205	4.7428467e-10	NaN	NaN	NaN	1.0489511e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.14022776	-0.05972142	1.3797372e-10	NaN	NaN	NaN	1.1188811e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.14570189	-0.066804595	2.41454e-10	NaN	NaN	NaN	1.1888112e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15051457	-0.07434506	2.41454e-10	NaN	NaN	NaN	1.2587412e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15441102	-0.08213273	1.2935035e-09	NaN	NaN	NaN	1.3286713e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15715902	-0.089855894	-3.62181e-10	NaN	NaN	NaN	1.3986013e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15858918	-0.09711529	3.8805106e-10	NaN	NaN	NaN	1.4685315e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15862821	-0.10347866	5.001547e-10	NaN	NaN	NaN	1.5384616e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15729244	-0.10854745	3.794277e-10	NaN	NaN	NaN	1.6083916e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15464443	-0.1120171	1.3624905e-09	NaN	NaN	NaN	1.6783217e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.15074323	-0.11370296	7.071153e-10	NaN	NaN	NaN	1.7482517e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.14560324	-0.113550566	7.933489e-10	NaN	NaN	NaN	1.8181818e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.13917959	-0.11163653	1.931632e-09	NaN	NaN	NaN	1.8881119e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.13138308	-0.10816812	2.1213458e-09	NaN	NaN	NaN	1.9580419e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.12212105	-0.103473514	1.7246714e-09	NaN	NaN	NaN	2.027972e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.11134755	-0.09797634	2.242073e-09	NaN	NaN	NaN	2.0979022e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.09910717	-0.09213592	4.0702246e-09	NaN	NaN	NaN	2.1678322e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.08554166	-0.08638113	5.5879354e-09	NaN	NaN	NaN	2.2377623e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.07085765	-0.08105626	3.5183296e-09	NaN	NaN	NaN	2.3076923e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.055287074	-0.07640757	5.6224287e-09	NaN	NaN	NaN	2.3776224e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.03905101	-0.07259164	4.656613e-09	NaN	NaN	NaN	2.4475526e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.022340922	-0.06969817	4.0012376e-09	NaN	NaN	NaN	2.5174825e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0.0053144363	-0.067773275	3.62181e-09	NaN	NaN	NaN	2.5874127e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.0118994545	-0.066837914	5.9328698e-09	NaN	NaN	NaN	2.6573426e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.029190354	-0.06689984	2.8629545e-09	NaN	NaN	NaN	2.7272728e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.04645428	-0.06795939	4.3116786e-09	NaN	NaN	NaN	2.7972027e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.063580975	-0.07000942	2.4490334e-09	NaN	NaN	NaN	2.867133e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.080441825	-0.07302966	6.4157777e-09	NaN	NaN	NaN	2.937063e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.096879765	-0.0769746	4.93256e-09	NaN	NaN	NaN	3.006993e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.11270403	-0.08175533	5.243001e-09	NaN	NaN	NaN	3.0769232e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.12769446	-0.087215886	4.898067e-09	NaN	NaN	NaN	3.146853e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.14162026	-0.09311083	5.4154685e-09	NaN	NaN	NaN	3.2167833e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.15427607	-0.09909663	5.8983765e-09	NaN	NaN	NaN	3.2867132e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16552176	-0.10474532	3.4838363e-09	NaN	NaN	NaN	3.3566434e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17531437	-0.10959846	2.41454e-09	NaN	NaN	NaN	3.4265733e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.18370198	-0.11323342	1.086543e-09	NaN	NaN	NaN	3.4965035e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.19077934	-0.115323104	1.0692963e-09	NaN	NaN	NaN	3.5664337e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.19663832	-0.11566144	1.8626451e-09	NaN	NaN	NaN	3.6363636e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20132644	-0.11417309	1.5522043e-10	NaN	NaN	NaN	3.7062938e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20483246	-0.11091404	4.1392115e-10	NaN	NaN	NaN	3.7762237e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20710075	-0.10607039	6.03635e-10	NaN	NaN	NaN	3.846154e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20807256	-0.09994859	-1.0348029e-10	NaN	NaN	NaN	3.9160838e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20773551	-0.092949115	4.225445e-10	NaN	NaN	NaN	3.986014e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20616767	-0.08550645	-3.2768757e-10	NaN	NaN	NaN	4.055944e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20354316	-0.07802234	2.41454e-10	NaN	NaN	NaN	4.125874e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20009983	-0.0708113	-1.2245167e-09	NaN	NaN	NaN	4.1958043e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.19609824	-0.06408658	2.2420729e-10	NaN	NaN	NaN	4.2657342e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.19178465	-0.0579683	-2.9319414e-10	NaN	NaN	NaN	4.3356644e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.18736996	-0.052505974	3.837394e-10	NaN	NaN	NaN	4.4055943e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.18302363	-0.047702055	-8.192189e-11	NaN	NaN	NaN	4.4755245e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17887497	-0.04353103	2.1127225e-10	NaN	NaN	NaN	4.5454544e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17501952	-0.039953105	2.1558392e-11	NaN	NaN	NaN	4.6153846e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17152542	-0.036923118	4.850638e-10	NaN	NaN	NaN	4.6853148e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16844021	-0.034396175	3.557135e-10	NaN	NaN	NaN	4.7552447e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16579586	-0.032330852	3.3631092e-10	NaN	NaN	NaN	4.8251746e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16361345	-0.030691015	7.6424506e-10	NaN	NaN	NaN	4.895105e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	4.965035e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.1619063	-0.02944672	6.4675176e-10	NaN	NaN	NaN	5.034965e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.1606825	-0.028574603	7.31099e-10	NaN	NaN	NaN	5.104895e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.15994665	-0.028057983	3.9883027e-10	NaN	NaN	NaN	5.1748253e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.15970117	-0.027886892	5.928558e-10	NaN	NaN	NaN	5.244755e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.15994665	-0.028057985	3.2229797e-10	NaN	NaN	NaN	5.314685e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16068248	-0.028574608	4.427555e-10	NaN	NaN	NaN	5.3846156e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.1619063	-0.02944672	2.2312936e-10	NaN	NaN	NaN	5.4545455e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16361345	-0.030691015	2.640903e-10	NaN	NaN	NaN	5.5244755e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16579586	-0.03233085	2.3714232e-11	NaN	NaN	NaN	5.5944054e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.16844021	-0.03439618	1.315062e-10	NaN	NaN	NaN	5.664336e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17152542	-0.03692312	-5.648299e-10	NaN	NaN	NaN	5.734266e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17501952	-0.03995311	-2.1558393e-10	NaN	NaN	NaN	5.8041957e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.17887497	-0.043531034	-5.475832e-10	NaN	NaN	NaN	5.874126e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.18302363	-0.047702067	-5.1308974e-10	NaN	NaN	NaN	5.944056e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.18736999	-0.052505977	-9.356342e-10	NaN	NaN	NaN	6.013986e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.1917846	-0.057968315	-1.5090875e-09	NaN	NaN	NaN	6.083916e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.19609825	-0.064086586	-1.690178e-09	NaN	NaN	NaN	6.1538464e-07	1e-07
0	0	-0.31019875	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-0.20009984	-0.07081132	-2.0092423e-09	NaN	NaN	NaN	6.223776e-07	1e-07
