# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.003132721	-0.028765513	0.0054766685	NaN	NaN	NaN	0	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.028522806	-0.018578555	0.0054198694	NaN	NaN	NaN	1.3448276e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.051542606	-0.011987666	0.0052359235	NaN	NaN	NaN	2.6896553e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.707107	0	-0.70710695	-0.70710695	0	0	0	0	-0.070940636	-0.008725836	0.004951135	NaN	NaN	NaN	4.0344826e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.086392894	-0.007900708	0.0045968797	NaN	NaN	NaN	5.3793105e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.7071069	-0.7071069	0	0	0	0	-0.0981641	-0.008616005	0.004202857	NaN	NaN	NaN	6.724138e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.707107	0	-0.7071069	-0.70710695	0	0	0	0	-0.10676578	-0.010171165	0.0037933912	NaN	NaN	NaN	8.068965e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.1127696	-0.012071387	0.0033863427	NaN	NaN	NaN	9.413793e-08	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.11672166	-0.013992424	0.0029936365	NaN	NaN	NaN	1.0758621e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.707107	0	0	0	0	-0.11911044	-0.015739977	0.0026223816	NaN	NaN	NaN	1.2103449e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.12035742	-0.017215561	0.0022760623	NaN	NaN	NaN	1.3448276e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.707107	-0.70710695	0	0	0	0	-0.12081838	-0.018389478	0.0019555502	NaN	NaN	NaN	1.4793103e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.12078767	-0.01927874	0.0016599206	NaN	NaN	NaN	1.613793e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.12050566	-0.019929731	0.0013870467	NaN	NaN	NaN	1.7482759e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.120165735	-0.020404872	0.0011340266	NaN	NaN	NaN	1.8827586e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.119923405	-0.02077349	0.00089745683	NaN	NaN	NaN	2.0172413e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.11990286	-0.02110611	0.00067361636	NaN	NaN	NaN	2.1517242e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.7071069	0	0	0	0	-0.12020452	-0.021471737	0.00045854077	NaN	NaN	NaN	2.2862069e-07	1e-07	145
0	0	-0.27360007	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.12090912	-0.021937221	0.00024804648	NaN	NaN	NaN	2.4206898e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.7071069	-0.70710695	0	0	0	0	-0.12208256	-0.022568371	3.7688667e-05	NaN	NaN	NaN	2.5551725e-07	1e-07	145
0	0	-0.27360007	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.707107	-0.70710695	0	0	0	0	-0.123776495	-0.023431871	-0.00017730438	NaN	NaN	NaN	2.6896552e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.12602831	-0.024597954	-0.0004021338	NaN	NaN	NaN	2.824138e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.7071069	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.12885664	-0.026142905	-0.0006424917	NaN	NaN	NaN	2.9586207e-07	1e-07	145
0	0	-0.27360004	0	-0.7071067	0.7071067	0	0.707107	-0.7071069	0	-0.70710695	-0.70710695	0	0	0	0	-0.13225353	-0.02815113	-0.0009046333	NaN	NaN	NaN	3.0931034e-07	1e-07	145
