# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0	-0.20130607	0	-0.7071071	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	0.008392491	-0.029030152	2.4919171e-09	NaN	NaN	NaN	0	1e-07
0	0	-0.2013061	0	-0.7071072	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.0040707146	-0.023900835	2.4415754e-09	NaN	NaN	NaN	7.420495e-09	1e-07
0	0	-0.20130607	0	-0.7071072	0.7071071	0	0.70710725	-0.70710725	0	-0.7071072	-0.70710725	0	0	0	0	-0.016333679	-0.019395107	2.2150375e-09	NaN	NaN	NaN	1.484099e-08	1e-07
0	0	-0.2013061	0	-0.7071071	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.02809547	-0.015676692	5.0845177e-09	NaN	NaN	NaN	2.2261483e-08	1e-07
0	0	-0.20130607	0	-0.7071071	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.039122764	-0.012789124	4.9838342e-09	NaN	NaN	NaN	2.968198e-08	1e-07
0	0	-0.2013061	0	-0.7071071	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.049260236	-0.010691938	6.544429e-09	NaN	NaN	NaN	3.7102474e-08	1e-07
0	0	-0.20130607	0	-0.7071071	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.058424704	-0.009297137	6.4185746e-09	NaN	NaN	NaN	4.4522967e-08	1e-07
0	0	-0.20130607	0	-0.7071071	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.066590466	-0.008496594	8.30639e-09	NaN	NaN	NaN	5.1943463e-08	1e-07
0	0	-0.20130607	0	-0.7071072	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.07377313	-0.008179493	8.784637e-09	NaN	NaN	NaN	5.936396e-08	1e-07
0	0	-0.20130606	0	-0.7071071	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.08001586	-0.008241835	5.034176e-09	NaN	NaN	NaN	6.678445e-08	1e-07
0	0	-0.20130607	0	-0.7071071	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.08537843	-0.008590916	9.564934e-10	NaN	NaN	NaN	7.420495e-08	1e-07
0	0	-0.20130607	0	-0.7071071	0.7071071	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.08992983	-0.009146708	-2.7687969e-10	NaN	NaN	NaN	8.1625444e-08	1e-07
0	0	-0.20130606	0	-0.7071072	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.093743004	-0.009841794	1.5857655e-09	NaN	NaN	NaN	8.904593e-08	1e-07
0	0	-0.20130606	0	-0.7071071	0.7071072	0	0.70710725	-0.70710725	0	-0.70710725	-0.70710725	0	0	0	0	-0.09689142	-0.010620483	3.976999e-09	NaN	NaN	NaN	9.646643e-08	1e-07
