# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0	-0.20758349	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710725	-0.70710725	0	0	0	0	0.08388972	-0.047407087	6.2088173e-10	NaN	NaN	NaN	0	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.70710737	-0.7071073	0	-0.7071073	-0.70710737	0	0	0	0	0.08220427	-0.050428692	3.197541e-09	NaN	NaN	NaN	7.692308e-09	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.7071073	-0.7071073	0	-0.7071073	-0.7071073	0	0	0	0	0.07902197	-0.052960135	6.2243393e-09	NaN	NaN	NaN	1.5384616e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.70710737	-0.70710725	0	0	0	0	0.074157014	-0.054661024	9.763365e-09	NaN	NaN	NaN	2.3076923e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.7071073	-0.7071073	0	0	0	0	0.06754715	-0.05517064	6.767611e-09	NaN	NaN	NaN	3.0769232e-08	1e-07
0	0	-0.20758347	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.7071073	-0.7071073	0	0	0	0	0.05929215	-0.05420895	6.7365664e-09	NaN	NaN	NaN	3.846154e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.70710725	-0.7071073	0	0	0	0	0.049620084	-0.051685777	3.4148495e-09	NaN	NaN	NaN	4.6153847e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710737	-0.7071073	0	0	0	0	0.03880901	-0.047752492	6.9538753e-09	NaN	NaN	NaN	5.3846154e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710737	-0.7071073	0	0	0	0	0.027129788	-0.042762995	6.146729e-09	NaN	NaN	NaN	6.1538465e-08	1e-07
0	0	-0.20758349	0	-0.707107	0.707107	0	0.7071073	-0.7071073	0	-0.70710725	-0.70710737	0	0	0	0	0.014838631	-0.037194047	6.0225527e-09	NaN	NaN	NaN	6.923077e-08	1e-07
