# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710737	-0.70710737	0	0	0	0	0.081679374	-0.046625715	-9.0027846e-10	NaN	NaN	NaN	0	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710725	-0.7071073	0	-0.70710737	-0.7071073	0	0	0	0	0.079948686	-0.0496433	1.2728075e-09	NaN	NaN	NaN	7.692308e-09	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.7071073	-0.70710725	0	0	0	0	0.07672001	-0.05217083	5.060186e-09	NaN	NaN	NaN	1.5384616e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.7071073	0	-0.70710737	-0.7071073	0	0	0	0	0.07180751	-0.053867944	7.1401396e-09	NaN	NaN	NaN	2.3076923e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710737	-0.70710725	0	0	0	0	0.0651489	-0.054373905	6.550302e-09	NaN	NaN	NaN	3.0769232e-08	1e-07
0	0	-0.2973111	0	-0.707107	0.707107	0	0.7071073	-0.70710725	0	-0.70710737	-0.7071073	0	0	0	0	0.0568439	-0.05340871	4.5634807e-09	NaN	NaN	NaN	3.846154e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.70710737	-0.70710725	0	0	0	0	0.04712056	-0.05088218	2.7629237e-09	NaN	NaN	NaN	4.6153847e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710725	0	-0.7071073	-0.70710725	0	0	0	0	0.036256894	-0.046945706	4.811833e-09	NaN	NaN	NaN	5.3846154e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.7071073	-0.70710725	0	0	0	0	0.024523715	-0.04195319	6.115685e-09	NaN	NaN	NaN	6.1538465e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710725	-0.70710737	0	-0.7071073	-0.70710725	0	0	0	0	0.012177194	-0.0363814	5.9915086e-09	NaN	NaN	NaN	6.923077e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.70710737	-0.7071073	0	0	0	0	-0.00051710254	-0.03073088	1.8005569e-09	NaN	NaN	NaN	7.692308e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710725	0	-0.70710725	-0.7071073	0	0	0	0	-0.013268611	-0.025437335	1.5522043e-09	NaN	NaN	NaN	8.461539e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.7071073	0	-0.70710737	-0.70710737	0	0	0	0	-0.025774812	-0.020812584	-1.4590721e-09	NaN	NaN	NaN	9.2307694e-08	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.70710737	-0.70710737	0	-0.70710737	-0.70710725	0	0	0	0	-0.03775395	-0.017027117	-4.4703485e-09	NaN	NaN	NaN	1e-07	1e-07
0	0	-0.2973111	0	-0.707107	0.707107	0	0.7071073	-0.7071073	0	-0.70710737	-0.7071073	0	0	0	0	-0.04897515	-0.01412739	-3.4148495e-09	NaN	NaN	NaN	1.0769231e-07	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.70710737	0	-0.70710737	-0.70710737	0	0	0	0	-0.05927533	-0.0120703755	-6.2088173e-10	NaN	NaN	NaN	1.15384616e-07	1e-07
0	0	-0.29731107	0	-0.707107	0.707107	0	0.7071073	-0.7071073	0	-0.70710737	-0.70710725	0	0	0	0	-0.06855977	-0.0107593965	9.934108e-10	NaN	NaN	NaN	1.2307693e-07	1e-07
