# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0.9994853	2.1306334e-09	-1.6573208e-11	0.9994853	2.1306334e-09	-1.6573208e-11	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9995209	1.12322596e-10	-7.4878784e-11	0.99952096	1.12322596e-10	-7.487878e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.039999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.999552	-1.517435e-10	4.9931937e-11	0.999552	-1.517435e-10	4.9931937e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.079999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99957937	5.0266635e-10	5.947705e-11	0.99957937	5.0266635e-10	5.947705e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.11999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996038	-2.5494273e-11	1.3499163e-10	0.9996038	-2.5494273e-11	1.3499162e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.15999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996258	2.7421265e-10	2.8643766e-11	0.99962574	2.7421265e-10	2.8643766e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.20000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996456	1.5310775e-10	5.7616883e-11	0.9996456	1.5310775e-10	5.7616883e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.23999979	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996635	2.7003466e-10	6.1243746e-11	0.9996635	2.7003466e-10	6.1243746e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.28000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9996799	-1.1854695e-10	1.3117955e-10	0.9996799	-1.1854695e-10	1.3117955e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.31999978	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.999695	7.781864e-11	-3.0492515e-11	0.999695	7.781864e-11	-3.0492515e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000034	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9997089	2.989964e-11	4.048778e-11	0.99970883	2.989964e-11	4.048778e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.40000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9997217	-8.449774e-11	1.6256499e-10	0.9997217	-8.449774e-11	1.6256499e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.43999952	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9997335	-2.3425173e-10	9.005285e-12	0.99973345	-2.3425173e-10	9.005285e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.47999957	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9997446	-2.9896796e-10	2.4903258e-11	0.99974453	-2.9896796e-10	2.4903258e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5200003	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
