# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-0.9998814	-8.427065e-09	1.7537508e-11	-0.9998813	-8.427065e-09	1.7537508e-11	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9998731	-3.4134473e-10	-9.7722164e-11	-0.99987316	-3.4134473e-10	-9.7722164e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.039999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9998635	-2.081606e-10	6.726081e-11	-0.9998635	-2.081606e-10	6.72608e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.079999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99985236	1.5910473e-10	1.2908422e-10	-0.9998524	1.5910473e-10	1.2908423e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.11999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99983937	9.174528e-11	1.177701e-11	-0.99983937	9.174528e-11	1.1777009e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.15999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9998237	3.6351366e-11	-9.555626e-12	-0.99982375	3.6351366e-11	-9.555626e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.20000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99980485	-1.5890578e-10	-2.8058826e-11	-0.99980485	-1.5890578e-10	-2.8058826e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.23999979	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9997813	4.7492676e-11	-5.095953e-11	-0.9997812	4.7492676e-11	-5.095953e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.28000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.999751	1.9070967e-11	-5.3882773e-11	-0.999751	1.9070967e-11	-5.3882773e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.31999978	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9997108	-1.5415935e-10	-6.786225e-13	-0.9997108	-1.5415935e-10	-6.786225e-13	NaN	NaN	NaN	NaN	NaN	NaN	0.36000034	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99965405	6.9405814e-11	1.7249e-11	-0.99965405	6.9405814e-11	1.7249e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.40000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.9995667	-1.6248691e-10	1.4777936e-10	-0.9995667	-1.6248691e-10	1.4777937e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.43999952	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.99940604	6.735945e-12	4.547386e-11	-0.999406	6.735945e-12	4.547386e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.47999957	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999372	7.6255446e-10	-4.1076444e-11	0.99993706	7.6255446e-10	-4.107644e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5200003	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99993944	-1.1922907e-10	-3.1329727e-11	0.99993944	-1.1922907e-10	-3.1329727e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.56000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999415	7.015899e-11	-5.9989435e-12	0.9999415	7.015899e-11	-5.9989435e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.59999925	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99994355	4.023093e-11	-2.9947114e-11	0.9999436	4.023093e-11	-2.9947114e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.63999957	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999454	1.3243096e-10	6.337781e-12	0.99994546	1.3243096e-10	6.337781e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.68000025	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999463	1.1812062e-10	5.5340288e-11	0.99994636	1.1812062e-10	5.5340284e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.69999945	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999445	1.330136e-10	6.957839e-11	0.9999445	1.330136e-10	6.95784e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.6600008	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999426	1.23066e-10	2.7249028e-11	0.9999426	1.23066e-10	2.724903e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.6200003	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999415	8.790835e-11	-6.976036e-11	0.9999415	8.790835e-11	-6.976036e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.59999925	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999406	-2.0321522e-11	-4.3938304e-11	0.9999405	-2.0321522e-11	-4.39383e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.58000094	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99993944	-1.6811441e-10	-2.5803098e-11	0.9999394	-1.6811441e-10	-2.58031e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.56000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999383	3.1050718e-11	3.3889485e-11	0.99993825	3.1050718e-11	3.388948e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5400007	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999372	9.1844754e-11	-6.1853245e-11	0.9999372	9.1844754e-11	-6.1853245e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5200003	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99993587	1.2484236e-10	-5.470889e-11	0.99993587	1.2484236e-10	-5.470889e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.5	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999347	-2.177103e-11	-1.3608351e-11	0.9999346	-2.177103e-11	-1.36083506e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.47999957	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999334	-6.9391604e-11	-5.913504e-11	0.9999334	-6.9391604e-11	-5.913504e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.45999935	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99993205	-1.12834186e-10	-2.9688196e-11	0.99993205	-1.12834186e-10	-2.9688193e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.43999952	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999306	-1.2103385e-10	-6.1007133e-12	0.9999306	-1.2103385e-10	-6.100713e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.41999933	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999292	-2.954863e-10	3.3950127e-11	0.99992913	-2.954863e-10	3.3950127e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.40000036	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999277	1.3005774e-10	1.5173262e-11	0.9999277	1.3005774e-10	1.5173262e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.3800001	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999262	8.2053475e-11	-2.3960355e-11	0.9999262	8.2053475e-11	-2.3960355e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000034	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999245	3.0979663e-12	2.7429867e-11	0.99992454	3.0979663e-12	2.742987e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.34000012	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99992293	-6.596679e-11	-2.6758287e-12	0.9999229	-6.596679e-11	-2.6758287e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.31999978	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999211	-7.418066e-12	-3.743558e-11	0.9999211	-7.418066e-12	-3.743558e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.29999962	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999192	7.599965e-11	-4.9762824e-12	0.9999192	7.599965e-11	-4.9762824e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.28000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9999173	-1.5262458e-11	-2.688604e-11	0.99991727	-1.5262458e-11	-2.688604e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.26000014	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
