# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-2.2572931e-07	6.6951034e-06	0.0011148484	-2.2584572e-07	6.6951034e-06	0.0011148484	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9844458	1.0608346e-08	-1.2673972e-11	0.9844458	1.0608346e-08	-1.2673971e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.039999973	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9901752	3.843752e-10	3.896955e-11	0.99017525	3.843752e-10	3.896955e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.079999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9922244	6.28404e-10	-1.2099338e-10	0.99222434	6.28404e-10	-1.2099338e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.11999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99377006	4.735057e-10	1.3581677e-11	0.99377006	4.735057e-10	1.3581677e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.15999989	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9949762	2.9859848e-10	2.196611e-11	0.9949763	2.9859848e-10	2.1966113e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.20000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9959403	-4.0643044e-10	4.183184e-11	0.9959403	-4.0643044e-10	4.1831844e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.23999979	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99672335	1.7786306e-10	-6.107899e-11	0.99672335	1.7786306e-10	-6.107898e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.28000018	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9973651	-1.8758328e-11	-9.133601e-11	0.9973652	-1.8758328e-11	-9.1336015e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.31999978	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99789166	3.9847237e-11	-7.630533e-11	0.99789166	3.9847237e-11	-7.630533e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.36000034	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
