# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-0.0016868344	0.0055209044	-0.0030585548	-0.0016868344	0.0055209044	-0.0030585546	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9699515	-0.007481311	-5.980837e-09	0.9699515	-0.0074813105	-5.984475e-09	NaN	NaN	NaN	NaN	NaN	NaN	0.039999966	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.98968726	-7.861729e-06	-6.664891e-11	0.98968726	-7.861729e-06	-6.653522e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.07999993	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99138784	-2.3362081e-06	-8.924417e-12	0.99138784	-2.3362081e-06	-8.98126e-12	NaN	NaN	NaN	NaN	NaN	NaN	0.120000355	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99273515	-1.407001e-06	-7.4066975e-11	0.99273515	-1.407001e-06	-7.401013e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.15999986	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9938311	-6.1385924e-07	-1.00513375e-10	0.99383116	-6.1385924e-07	-1.00513375e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.2000005	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9947402	-1.5416606e-07	3.2418512e-11	0.9947402	-1.5416606e-07	3.242917e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.24000071	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9955056	-3.3941205e-09	3.5278447e-11	0.9955056	-3.3941205e-09	3.527134e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.27999946	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99614745	-3.6720849e-10	-1.448786e-10	0.9961475	-3.6720849e-10	-1.4487858e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.31999972	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9966705	-3.3145398e-10	-1.3310039e-10	0.9966705	-3.3145398e-10	-1.3310039e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.36000043	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.99711573	5.7571015e-10	-2.0690054e-10	0.99711573	5.7571015e-10	-2.0690055e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.400001	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9974956	5.2870064e-10	-2.5629276e-11	0.9974956	5.2870064e-10	-2.5629271e-11	NaN	NaN	NaN	NaN	NaN	NaN	0.44000074	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.9978196	-1.1925749e-10	1.664265e-10	0.99781954	-1.1925749e-10	1.6642651e-10	NaN	NaN	NaN	NaN	NaN	NaN	0.48000142	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
