# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0.4339632	-0.2226712	1.2595441e-10	0.7115077	-0.6999453	4.13505e-10	0.7093792	-0.7016127	-3.173159e-12	0.70180434	0.70904106	3.1349187e-10	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4332727	-0.22197554	-1.6532208e-10	0.7115207	-0.69991845	1.1115607e-10	0.70938516	-0.7015894	-5.2495595e-11	0.7002342	0.7105939	-6.303994e-10	-0.002121324	0.002121324	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.43258145	-0.22128049	1.4922718e-11	0.7115338	-0.69989145	1.3469353e-10	0.709391	-0.7015658	8.0635096e-11	0.69866014	0.71214324	2.6648688e-11	-0.004242648	0.004242648	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.43188947	-0.22058608	-3.180502e-11	0.7115468	-0.6998643	-4.0782858e-10	0.70939684	-0.70154214	-2.419141e-11	0.6970824	0.7136889	1.8703158e-10	-0.0063639795	0.0063639795	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.43119675	-0.21989232	2.3618548e-11	0.71155983	-0.6998371	4.1751924e-10	0.70940274	-0.7015185	7.593422e-11	0.69550085	0.71523076	-2.2790804e-10	-0.008485296	0.008485296	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.43050325	-0.21919918	-1.4020383e-10	0.71157295	-0.6998096	-5.8947314e-10	0.7094085	-0.7014945	-4.2580106e-10	0.69391537	0.7167692	5.2889426e-10	-0.010606594	0.010606594	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42980903	-0.21850665	-1.4712415e-11	0.71158594	-0.69978213	2.6199282e-10	0.7094143	-0.70147043	1.00243425e-10	0.6923262	0.71830404	-2.8441882e-10	-0.012727959	0.012727959	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42911398	-0.21781471	-1.887002e-11	0.711599	-0.6997544	2.4115737e-10	0.70941997	-0.7014462	-6.696237e-11	0.690733	0.71983516	-8.022603e-11	-0.014849202	0.014849202	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42841816	-0.21712337	1.3789723e-11	0.71161216	-0.69972664	2.8521224e-10	0.7094256	-0.70142174	-3.760345e-11	0.68913597	0.72136277	-1.1792067e-10	-0.016970592	0.016970592	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42772156	-0.21643266	1.130872e-10	0.7116253	-0.6996987	4.5076187e-10	0.7094313	-0.70139724	3.744156e-12	0.6875349	0.7228869	4.4574097e-12	-0.019091899	0.019091899	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42702416	-0.21574254	-7.098261e-12	0.71163833	-0.69967055	-1.06166034e-10	0.70943683	-0.7013725	1.5139489e-11	0.68592995	0.7244075	3.5888134e-10	-0.021213189	0.021213189	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42632595	-0.215053	1.2543137e-10	0.71165144	-0.69964224	3.5204506e-11	0.7094424	-0.70134765	4.9128596e-10	0.6843211	0.72592443	-2.8502176e-10	-0.023334505	0.023334505	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42562693	-0.21436402	-2.8358677e-10	0.7116646	-0.69961375	-1.0507565e-10	0.70944786	-0.7013226	-3.8173834e-10	0.6827082	0.727438	-2.4352756e-10	-0.025455918	0.025455918	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4249271	-0.2136756	4.9719236e-11	0.71167773	-0.69958526	4.2306603e-11	0.7094533	-0.7012974	-1.419546e-10	0.6810913	0.728948	5.473856e-10	-0.027577266	0.027577266	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42422637	-0.21298775	-1.1366311e-11	0.7116909	-0.69955647	4.5263814e-11	0.7094587	-0.701272	-2.3092192e-10	0.6794704	0.7304546	-7.993722e-11	-0.029698404	0.029698404	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42352483	-0.21230043	2.9818287e-10	0.71170396	-0.69952756	7.190427e-10	0.7094641	-0.7012465	6.6788053e-10	0.6778455	0.73195773	1.3454736e-10	-0.03181981	0.03181981	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42282245	-0.21161371	3.1911543e-11	0.71171707	-0.6994984	1.2898659e-10	0.70946926	-0.7012208	1.412436e-10	0.67621636	0.7334573	-2.96258e-11	-0.033941183	0.033941183	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42211917	-0.21092749	1.8997146e-10	0.7117302	-0.6994692	1.1993596e-10	0.7094746	-0.70119506	2.9661867e-11	0.67458326	0.7349536	3.529136e-10	-0.036062334	0.036062334	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4214151	-0.21024181	2.0570752e-10	0.71174335	-0.69943976	2.731103e-10	0.7094798	-0.7011689	1.8517148e-10	0.672946	0.73644644	7.251619e-10	-0.038183797	0.038183797	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42071006	-0.20955665	3.102739e-10	0.7117564	-0.6994102	2.6988847e-10	0.7094849	-0.7011427	5.566975e-11	0.67130446	0.73793584	9.285139e-10	-0.040305134	0.040305134	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.42000422	-0.20887202	4.3882228e-11	0.71176964	-0.69938046	-3.7859135e-10	0.70948994	-0.7011162	3.403529e-11	0.6696589	0.73942196	2.9785704e-10	-0.042426378	0.042426378	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41929737	-0.2081879	-1.304193e-10	0.71178275	-0.69935054	-1.0271897e-11	0.70949495	-0.70108974	-5.0921006e-10	0.66800904	0.7409045	-5.2187567e-11	-0.044547766	0.044547766	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41858968	-0.20750429	-8.4173356e-11	0.7117959	-0.6993205	3.359208e-11	0.7094999	-0.701063	-7.8e-11	0.666355	0.74238384	-3.33924e-10	-0.04666901	0.04666901	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41788104	-0.20682116	-3.6470067e-11	0.711809	-0.6992903	-5.8115923e-10	0.7095048	-0.701036	5.937392e-11	0.66469675	0.74385977	2.622353e-10	-0.048790272	0.048790272	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4171715	-0.20613855	1.05049164e-10	0.7118221	-0.69925976	-2.4793875e-10	0.70950955	-0.7010088	-8.321114e-11	0.6630342	0.7453321	-3.7711022e-11	-0.050911836	0.050911836	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.416461	-0.20545639	-5.863579e-11	0.71183527	-0.6992291	-6.630248e-10	0.7095144	-0.70098156	-1.7504245e-11	0.6613673	0.74680144	3.9833573e-10	-0.05303293	0.05303293	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41574958	-0.20477474	-6.487893e-11	0.7118484	-0.6991983	-9.2070074e-10	0.70951897	-0.70095396	-3.1127104e-10	0.659696	0.7482674	4.7713894e-10	-0.055154532	0.055154532	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41503718	-0.20409356	-8.886055e-11	0.7118615	-0.6991673	-2.0899989e-10	0.7095237	-0.7009262	-8.7893935e-11	0.65802044	0.74973005	-4.077743e-10	-0.05727572	0.05727572	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4143238	-0.20341285	-2.1093932e-10	0.7118746	-0.69913614	-3.0260633e-10	0.7095282	-0.7008983	-5.4859936e-11	0.6563404	0.7511893	-3.058818e-10	-0.059396807	0.059396807	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41360942	-0.20273258	-7.046953e-11	0.7118877	-0.69910467	7.1058975e-10	0.70953256	-0.7008701	-1.1412156e-11	0.654656	0.7526453	-4.155779e-10	-0.06151844	0.06151844	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41289413	-0.20205279	4.5650993e-11	0.71190083	-0.69907314	-2.2882701e-10	0.7095371	-0.70084167	-1.9552003e-10	0.6529672	0.754098	3.4297185e-10	-0.06363962	0.06363962	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41217774	-0.20137341	2.653982e-10	0.7119139	-0.69904137	6.0773964e-10	0.7095414	-0.7008132	3.735279e-10	0.6512739	0.7555474	4.7495487e-11	-0.06576084	0.06576084	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41146037	-0.2006945	-8.9559055e-11	0.71192694	-0.6990094	-5.4067456e-10	0.70954555	-0.7007843	-9.529963e-11	0.649576	0.75699365	1.1639067e-10	-0.06788237	0.06788237	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.41074196	-0.20001604	1.858811e-11	0.71194005	-0.69897723	-3.973758e-10	0.70954967	-0.70075536	-1.0719919e-12	0.64787364	0.7584366	5.3572763e-10	-0.07000352	0.07000352	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4100225	-0.19933796	1.5327122e-10	0.711953	-0.69894487	4.2941806e-10	0.7095537	-0.70072603	4.5250964e-10	0.6461666	0.75987625	-8.728402e-14	-0.07212467	0.07212467	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40930206	-0.19866034	-6.4018124e-11	0.7119661	-0.69891226	2.8882731e-11	0.7095577	-0.7006966	-4.380744e-10	0.6444552	0.7613127	-4.6310393e-11	-0.074246205	0.074246205	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40858054	-0.19798313	1.06838e-10	0.7119791	-0.6988794	-2.7865252e-10	0.70956147	-0.7006668	2.9836197e-10	0.64273894	0.7627459	-2.7636252e-10	-0.076367594	0.076367594	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4078579	-0.19730635	2.6842641e-11	0.711992	-0.69884646	2.581113e-10	0.7095652	-0.700637	5.3703434e-11	0.64101815	0.76417595	-1.0604801e-11	-0.07848912	0.07848912	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4071342	-0.19662996	6.7795776e-11	0.7120051	-0.6988132	5.863619e-11	0.7095689	-0.7006067	-3.030229e-10	0.6392926	0.76560277	3.223875e-10	-0.08061027	0.08061027	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40640938	-0.19595398	1.6919695e-10	0.71201795	-0.6987798	1.7385393e-11	0.70957243	-0.7005763	1.2256579e-10	0.6375623	0.7670263	2.1283525e-10	-0.08273137	0.08273137	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40568352	-0.19527836	-1.8530237e-10	0.7120309	-0.69874614	-4.4536144e-10	0.7095759	-0.7005456	-4.169703e-10	0.6358273	0.7684467	-9.84805e-11	-0.084852755	0.084852755	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40495646	-0.19460315	-9.0756416e-11	0.7120437	-0.69871217	3.3282547e-11	0.7095792	-0.7005146	-3.2352365e-10	0.6340875	0.76986396	9.104175e-11	-0.08697386	0.08697386	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.4042283	-0.19392832	2.0236586e-10	0.7120566	-0.69867814	-2.7415656e-10	0.7095825	-0.7004835	4.6282755e-10	0.6323428	0.7712779	8.5610197e-10	-0.08909553	0.08909553	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40349904	-0.19325386	-1.0399025e-10	0.71206945	-0.69864374	8.812176e-11	0.70958555	-0.70045197	-4.7887378e-11	0.63059336	0.7726887	-2.677251e-10	-0.091216914	0.091216914	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40276858	-0.19257979	-1.4194028e-10	0.71208227	-0.6986092	-1.01931324e-10	0.7095885	-0.70042026	1.7178566e-10	0.62883896	0.77409637	-6.471835e-11	-0.09333802	0.09333802	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40203685	-0.19190606	7.444951e-11	0.71209496	-0.6985743	-1.373517e-10	0.7095914	-0.7003882	1.1669127e-10	0.62707955	0.7755008	3.4510902e-10	-0.09545915	0.09545915	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40130407	-0.1912327	-1.7727576e-10	0.7121077	-0.6985393	-4.045581e-10	0.70959413	-0.7003559	-6.6250436e-11	0.6253153	0.77690214	-1.6552529e-10	-0.097580545	0.097580545	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.40057	-0.19055966	2.3313419e-11	0.7121204	-0.6985039	-1.5489815e-10	0.7095967	-0.7003233	-4.794124e-11	0.6235459	0.7783003	6.0200406e-10	-0.09970227	0.09970227	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.3998348	-0.18988699	4.8035603e-11	0.71213305	-0.6984683	1.3791147e-10	0.70959914	-0.70029044	-5.9086464e-12	0.62177163	0.77969533	-2.6133468e-10	-0.10182367	0.10182367	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.39909834	-0.18921466	1.12634034e-10	0.71214557	-0.6984325	2.7023123e-10	0.7096014	-0.7002573	7.805282e-11	0.6199921	0.7810872	1.5932054e-10	-0.10394477	0.10394477	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
