# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-0.20502731	-0.24396226	-1.134802e-09	-0.99845874	-0.00030077982	-1.435627e-10	0.0765573	-0.00040238615	-2.77241e-09	-0.00029165615	-0.9984212	1.5083311e-10	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2050233	-0.24838251	5.7772717e-11	-0.9984372	-0.0062546385	-4.9192712e-11	0.07655625	-0.0077220267	1.1136944e-10	-0.000294352	-0.9984507	9.7164055e-11	0	-0.010000044	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20501214	-0.2528029	-7.269021e-12	-0.9983771	-0.012208901	-6.3399494e-11	0.07655036	-0.015042446	1.08520614e-11	-0.00029701242	-0.99847925	1.346454e-11	0	-0.020000087	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20499384	-0.25722387	-7.91803e-11	-0.9982785	-0.018163959	-4.9178116e-11	0.076539665	-0.022364302	-1.16344e-11	-0.0002996386	-0.99850684	-2.571122e-10	0	-0.029999916	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20496833	-0.2616458	-2.7396143e-11	-0.9981413	-0.024120174	-1.11155966e-10	0.07652413	-0.029688327	1.1769458e-10	-0.00030223012	-0.99853355	-2.0227067e-10	0	-0.040000174	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2049357	-0.2660691	-5.78745e-11	-0.99796534	-0.030077921	-2.125028e-10	0.07650376	-0.03701523	-6.443209e-11	-0.00030478844	-0.99855936	7.730764e-11	0	-0.0499998	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20489587	-0.27049407	5.894632e-11	-0.9977508	-0.036037583	1.3290066e-10	0.07647853	-0.044345677	4.783074e-11	-0.00030731378	-0.9985845	3.2186302e-11	0	-0.05999983	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2048488	-0.27492118	7.1334494e-11	-0.9974973	-0.041999526	9.4981405e-11	0.076448455	-0.051680427	-1.1680696e-11	-0.00030980667	-0.9986088	2.1974432e-10	0	-0.069999784	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20479454	-0.27935073	-9.953252e-12	-0.99720496	-0.047964133	6.288301e-11	0.07641349	-0.05902014	-1.25420264e-11	-0.00031226856	-0.9986324	-8.067377e-11	0	-0.08000035	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20473303	-0.2837832	6.30248e-12	-0.99687344	-0.05393176	-1.6406853e-11	0.076373644	-0.06636558	-3.5588078e-11	-0.00031469914	-0.99865514	1.0155138e-10	0	-0.09000014	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20466423	-0.28821898	6.1684796e-11	-0.99650276	-0.059902787	-6.2527504e-11	0.07632887	-0.07371747	4.6358566e-11	-0.0003171	-0.99867743	2.3540253e-10	0	-0.0999996	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20458812	-0.29265842	-3.9041548e-11	-0.9960926	-0.065877564	-8.4398044e-11	0.076279156	-0.08107655	2.2148498e-12	-0.0003194709	-0.998699	-8.180843e-11	0	-0.11000039	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20450467	-0.29710197	3.7765145e-11	-0.995643	-0.07185647	-4.364531e-11	0.07622449	-0.08844356	5.1445688e-11	-0.00032181447	-0.9987199	1.1055295e-10	0	-0.11999966	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20441386	-0.30154997	7.520272e-11	-0.9951536	-0.07783987	7.100125e-11	0.07616482	-0.09581926	4.384594e-11	-0.0003241299	-0.99874026	1.6550794e-10	0	-0.13000023	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20431563	-0.30600286	-9.001653e-12	-0.99462414	-0.0838281	-4.857055e-11	0.07610012	-0.1032044	-1.1128039e-11	-0.00032641858	-0.99876016	2.8933633e-11	0	-0.13999957	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
