# t (s)	mx ()	my ()	mz ()	m.region32x ()	m.region32y ()	m.region32z ()	m.region33x ()	m.region33y ()	m.region33z ()	m.region34x ()	m.region34y ()	m.region34z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	-0.20502731	-0.24396226	-2.4192562e-10	-0.9984587	-0.00030077973	-1.7860057e-11	0.0765573	-0.0004023888	-7.707201e-10	-0.00029165598	-0.9984211	3.218252e-10	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2050233	-0.24838251	5.2329814e-11	-0.99843717	-0.0062546376	-1.588394e-11	0.07655625	-0.007722028	8.068854e-11	-0.0002943524	-0.9984507	9.4138315e-11	0	-0.010000044	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20501216	-0.2528029	3.501348e-11	-0.9983771	-0.012208909	-2.195336e-11	0.076550364	-0.015042436	3.1617816e-11	-0.00029701242	-0.9984792	1.1157414e-10	0	-0.020000087	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20499381	-0.25722387	-8.7007665e-11	-0.9982785	-0.018163959	-1.7614132e-10	0.076539665	-0.02236431	4.397837e-11	-0.00029963895	-0.99850684	-2.5953278e-10	0	-0.029999916	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20496836	-0.2616458	-5.4433444e-11	-0.9981413	-0.02412017	-4.6836365e-11	0.07652413	-0.029688327	6.3273844e-12	-0.00030223024	-0.9985334	-1.8820098e-10	0	-0.040000174	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2049357	-0.26606908	5.483387e-12	-0.9979654	-0.030077923	-4.7428773e-11	0.07650376	-0.037015226	9.540642e-12	-0.00030478844	-0.99855936	5.2420936e-11	0	-0.0499998	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20489585	-0.27049407	2.3636697e-11	-0.9977508	-0.03603758	5.3297023e-11	0.076478526	-0.044345677	-1.8213448e-11	-0.0003073139	-0.9985844	7.575695e-11	0	-0.05999983	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20484884	-0.27492118	-4.1092913e-13	-0.99749726	-0.04199953	-5.5467603e-11	0.07644845	-0.051680416	-3.411607e-11	-0.00030980655	-0.9986088	1.09456125e-10	0	-0.069999784	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20479454	-0.27935073	-1.61149e-11	-0.99720496	-0.04796413	2.581295e-11	0.07641349	-0.05902014	-1.886138e-11	-0.00031226824	-0.99863225	-5.9342316e-11	0	-0.08000035	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20473303	-0.28378323	4.642412e-11	-0.99687356	-0.05393176	5.7073072e-11	0.076373644	-0.06636558	2.5832554e-12	-0.00031469885	-0.99865514	1.3048501e-10	0	-0.09000014	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20466422	-0.28821898	4.2590764e-11	-0.9965029	-0.059902776	-1.05948555e-10	0.07632887	-0.07371747	2.8589669e-11	-0.0003171002	-0.9986774	2.2916194e-10	0	-0.0999996	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.2045881	-0.29265842	1.894273e-12	-0.9960927	-0.065877564	-1.742296e-12	0.07627916	-0.08107655	1.7064891e-12	-0.00031947094	-0.998699	6.580983e-12	0	-0.11000039	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20450467	-0.29710197	6.650635e-12	-0.9956431	-0.07185647	-1.1274971e-10	0.07622449	-0.08844356	-9.329791e-12	-0.00032181435	-0.9987199	1.5227034e-10	0	-0.11999966	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20441386	-0.30154997	5.365635e-11	-0.9951536	-0.07783987	2.9320865e-11	0.07616481	-0.095819265	-1.636361e-11	-0.0003241299	-0.99874026	2.1887442e-10	0	-0.13000023	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.20431563	-0.30600286	3.024418e-11	-0.99462426	-0.08382809	1.9159875e-11	0.07610012	-0.10320441	-4.039113e-12	-0.00032641905	-0.99876016	1.12103646e-10	0	-0.13999957	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
