# t (s)	mx ()	my ()	mz ()	m.region23x ()	m.region23y ()	m.region23z ()	m.region24x ()	m.region24y ()	m.region24z ()	m.region25x ()	m.region25y ()	m.region25z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.123241e-17	-1	0	0	0	0	-0.50273454	-0.003739163	0.022951616	NaN	NaN	NaN	0	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.123241e-17	-1	0	0	0	0	-0.45932418	-0.0038371491	0.019746799	NaN	NaN	NaN	6.1728396e-09	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.42125702	-0.0039380603	0.017109016	NaN	NaN	NaN	1.2345679e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.123241e-17	-1	0	0	0	0	-0.38771972	-0.0040433663	0.014907235	NaN	NaN	NaN	1.8518518e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.35795608	-0.0041545103	0.013048727	NaN	NaN	NaN	2.4691358e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.33140704	-0.004273034	0.011470902	NaN	NaN	NaN	3.0864197e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.3077092	-0.004400431	0.010123845	NaN	NaN	NaN	3.7037037e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.28648424	-0.004538249	0.008966992	NaN	NaN	NaN	4.3209877e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.2674157	-0.0046879854	0.00796829	NaN	NaN	NaN	4.9382717e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.25023705	-0.0048511773	0.0071019875	NaN	NaN	NaN	5.5555557e-08	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.23472326	-0.005029328	0.0063472087	NaN	NaN	NaN	6.172839e-08	1e-07	162
