# t (s)	mx ()	my ()	mz ()	m.region23x ()	m.region23y ()	m.region23z ()	m.region24x ()	m.region24y ()	m.region24z ()	m.region25x ()	m.region25y ()	m.region25z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.1232336e-17	0	-6.123233e-17	-1	0	0	0	0	-0.42561042	-0.00562754	0.019968446	NaN	NaN	NaN	0	1e-07	81
0	0	-0.19705401	0	-1	-6.1232336e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.35746276	-0.005699434	0.015182853	NaN	NaN	NaN	1.2345679e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.30354834	-0.0057647787	0.011774374	NaN	NaN	NaN	2.4691358e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.1232336e-17	-1	0	0	0	0	-0.26005286	-0.0058294367	0.009280008	NaN	NaN	NaN	3.7037037e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.22454257	-0.0058982093	0.0074185426	NaN	NaN	NaN	4.9382717e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.1232336e-17	-1	0	0	0	0	-0.19519375	-0.0059746625	0.0060061514	NaN	NaN	NaN	6.172839e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.1706785	-0.0060611665	0.004919066	NaN	NaN	NaN	7.407407e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.1232336e-17	0	-6.123233e-17	-1	0	0	0	0	-0.15001011	-0.006159059	0.0040716496	NaN	NaN	NaN	8.641975e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.1232336e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.13244218	-0.006268859	0.003403436	NaN	NaN	NaN	9.876543e-08	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.1232336e-17	-1	0	0	0	0	-0.117400296	-0.006390472	0.0028709888	NaN	NaN	NaN	1.1111111e-07	1e-07	81
0	0	-0.19705401	0	-1	-6.1232336e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.104436554	-0.006523361	0.002442644	NaN	NaN	NaN	1.2345679e-07	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.1232336e-17	-1	0	0	0	0	-0.09319693	-0.0066667036	0.0020950113	NaN	NaN	NaN	1.3580247e-07	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.123233e-17	-1	0	0	0	0	-0.083398536	-0.0068194866	0.0018105988	NaN	NaN	NaN	1.4814815e-07	1e-07	81
0	0	-0.19705401	0	-1	-6.123234e-17	0	1	6.123234e-17	0	-6.1232336e-17	-1	0	0	0	0	-0.074813105	-0.0069805896	0.0015761799	NaN	NaN	NaN	1.6049383e-07	1e-07	81
