# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0.120986626	-0.20221941	-0.001297992	0.7046201	-0.70708317	3.8543072e-05	-0.014449894	0.016548548	-0.0047213105	-0.115415856	-0.123641804	-0.00711578	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.09990637	-0.18157938	-0.0014125874	0.7042057	-0.7074752	3.997044e-05	-0.12664986	0.1285804	-0.0048154127	-0.11909313	-0.12019895	-0.0071120462	-0.004242653	0.004242653	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.08552423	-0.16767067	-0.0014794287	0.703963	-0.70769507	4.073133e-05	-0.19369589	0.19485737	-0.004811597	-0.122680515	-0.11652676	-0.0070926566	-0.008485306	0.008485306	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.07046	-0.15251918	-0.0015186328	0.7037173	-0.70791715	4.1096744e-05	-0.26927748	0.27039185	-0.004872901	-0.12435433	-0.110624775	-0.0073807794	-0.012727873	0.012727873	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.054440953	-0.13595024	-0.0014636829	0.70340025	-0.70820916	3.6424422e-05	-0.36604542	0.367449	-0.0039085587	-0.12301672	-0.101989634	-0.007037052	-0.016970612	0.016970612	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.036701165	-0.11875951	-0.0014769282	0.7031197	-0.7084647	3.8924638e-05	-0.45343232	0.45362	-0.0044029374	-0.12673815	-0.098498434	-0.0069945566	-0.021213247	0.021213247	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.0061904807	-0.0886357	-0.0011237419	0.7024267	-0.70912933	2.4449047e-05	-0.70423186	0.70694214	4.5665233e-06	-0.1299804	-0.09485076	-0.0069642863	-0.025455747	0.025455747	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.0146115245	-0.06830793	-0.00053144945	0.7023988	-0.7091325	2.3788027e-05	-0.70430535	0.7068995	3.2952403e-06	-0.13398312	-0.09145898	-0.006916382	-0.029698389	0.029698389	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.016183376	-0.06696977	-0.00052828656	0.7023891	-0.70911735	2.3734587e-05	-0.7043415	0.70689255	3.2700088e-06	-0.13785575	-0.087978765	-0.0068692155	-0.033941224	0.033941224	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.017720735	-0.064334735	-0.0005113016	0.7023749	-0.7091063	2.358727e-05	-0.7043899	0.7068715	1.3080174e-06	-0.14170793	-0.08449493	-0.006822594	-0.03818381	0.03818381	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.01928952	-0.063078575	-0.00050651556	0.7023654	-0.7090902	2.355953e-05	-0.7044213	0.7068685	1.2170157e-06	-0.14557463	-0.08100453	-0.0067777047	-0.042426493	0.042426493	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.020578459	-0.061535023	-0.00049566536	0.7023618	-0.70906687	2.4551053e-05	-0.70443976	0.7068779	1.237811e-06	-0.14634106	-0.07434625	-0.0066680666	-0.04666901	0.04666901	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.021356324	-0.057125997	-0.0005804821	0.7023634	-0.70903826	2.4601188e-05	-0.7044648	0.706878	7.0553574e-06	-0.14189826	-0.06252738	-0.0065491833	-0.050911494	0.050911494	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.022676107	-0.055603158	-0.0005717801	0.70235974	-0.7090146	2.4634017e-05	-0.7044891	0.7068806	6.9929424e-06	-0.14304474	-0.056074627	-0.0064513357	-0.055154674	0.055154674	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
