# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)
0	0.12268733	-0.2005819	-0.0012304516	0.704652	-0.70705026	3.8484242e-05	-0.014424222	0.016626414	-0.0047221156	-0.09652762	-0.10537563	-0.006358699	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.10455135	-0.18261291	-0.0013933715	0.70433164	-0.7073482	3.3035296e-05	-0.10050612	0.101765245	-0.0036906726	-0.09897467	-0.10073916	-0.006336202	-0.004242653	0.004242653	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.08557187	-0.1639526	-0.0014122227	0.70399904	-0.70765793	3.4835608e-05	-0.19262846	0.1938987	-0.003733993	-0.10234585	-0.09689544	-0.0063230344	-0.008485306	0.008485306	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.069691375	-0.14847663	-0.0014384069	0.7037319	-0.7079015	3.6548256e-05	-0.27022123	0.27152067	-0.0039944216	-0.106015176	-0.09333554	-0.0062985322	-0.012727873	0.012727873	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.053297833	-0.13214754	-0.0015318329	0.70342153	-0.70818716	2.5459929e-05	-0.36627877	0.36658886	-0.004429983	-0.108007155	-0.0881198	-0.005298503	-0.016970612	0.016970612	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	0.038697112	-0.11792274	-0.0015871788	0.70318526	-0.7083988	2.3440904e-05	-0.43618244	0.43639985	-0.004051419	-0.11154892	-0.08437447	-0.005275226	-0.021213247	0.021213247	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.011651657	-0.06793928	-0.00037507038	0.70243365	-0.70912135	1.9179372e-05	-0.7042439	0.7069303	9.842769e-07	-0.11468615	-0.0805885	-0.0052834596	-0.025455747	0.025455747	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.013273965	-0.066719845	-0.00037495632	0.7024243	-0.7091063	1.9198116e-05	-0.70427704	0.70692706	9.725243e-07	-0.11910357	-0.07752312	-0.0052824006	-0.029698389	0.029698389	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.014284729	-0.064862445	-0.0004091422	0.7024261	-0.7090785	2.212855e-05	-0.7042888	0.70694464	2.1134235e-06	-0.11677637	-0.06766747	-0.0055961288	-0.033941224	0.033941224	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
0	-0.015813258	-0.06114884	-0.00039684595	0.7024074	-0.709072	2.1984588e-05	-0.70437264	0.7068858	1.3263119e-06	-0.12065402	-0.06419024	-0.005552809	-0.03818381	0.03818381	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1e-07
